wavelength,buffer,0nm,10nm,20nm,30nm,40nm,50nm,60nm,70nm,80nm,90nm,100nm,110nm
562.0499878,-0.073525123,4.05832386,5.927155018,7.905555725,11.50887775,14.3730135,17.99561501,22.06683731,26.51750755,28.40885735,31.15739441,35.30681992,37.75544357
562.9400024,0.193648264,4.515768528,6.15732336,8.396039963,12.30655766,15.41806698,19.51037025,24.05818176,28.30390167,30.96728134,33.65377426,38.44894409,41.12181473
563.9699707,0.412393987,4.941943645,6.766748905,9.1920681,13.15305996,17.04634666,21.40300941,26.52356529,30.51872826,33.80363846,36.43958282,42.18938446,44.75753403
565,0.536133051,5.637228012,7.320351601,9.954043388,14.2028017,18.59739685,23.11742783,28.77728653,33.29249954,36.91461182,39.6719017,45.52056503,48.55288315
566.0200195,0.718212724,6.13113308,8.217512131,10.7781105,15.18815231,20.08460999,24.70906258,30.52724648,35.98083496,39.93934631,42.49091339,48.78743744,52.16266632
567.0499878,0.920713484,6.482326031,8.807347298,11.44861412,16.58915138,21.42485428,26.119133,32.18541336,38.67683411,42.65155029,44.79130554,51.69758224,55.70509338
567.9400024,0.921043873,6.75978899,9.129906654,12.26213551,17.51926804,22.35346222,27.88365555,34.35937119,41.17055893,44.93635178,47.41621399,54.70168686,59.06442642
568.9699707,0.855483711,6.929563046,8.937405586,12.91789246,18.39442062,22.92621994,29.81799126,36.60312653,43.64430237,46.82642365,49.85536957,57.45781326,61.939991
570,1.032597184,7.172317505,9.286894798,13.39575863,18.80043602,23.87541008,31.10908318,38.5024147,45.60583115,48.90190125,52.47071838,60.27557755,64.31838989
571.0200195,1.26345551,7.291882038,9.839148521,13.43480015,19.19181442,24.95540047,32.1586647,40.20989609,46.73677826,50.98843002,54.89964294,62.86654663,67.11200714
572.0499878,1.307924867,7.469465733,10.16179562,13.78757763,19.71300316,25.76101303,32.65128326,41.20843887,47.96530151,52.66127396,57.24367523,64.79098511,69.40847015
572.9400024,1.293553591,7.563173294,10.19954205,14.31874466,20.31547356,26.37166977,33.73810959,42.08816528,49.4499054,53.92127228,59.09667969,66.5196228,71.64193726
573.9699707,1.322584748,7.516115189,10.52975082,14.93562508,21.05660439,26.88676453,34.44487762,43.17644501,50.87099075,55.38115311,60.6208992,68.47181702,73.45288849
575,1.317002654,7.47488451,10.78931713,14.95977211,21.30814171,27.37674332,35.44626999,44.69327164,51.80312347,56.80072021,61.53792191,70.45675659,74.82962036
576.0200195,1.146857738,7.373267651,10.60842133,14.87732887,21.63711357,27.66736603,35.50019455,45.40161514,52.56163025,57.69746017,62.65058136,71.45072174,75.72032928
577.0499878,0.948766232,7.230548859,10.29211903,14.80352974,21.86611176,28.02502441,35.65616989,46.10468674,52.51861954,58.13777924,63.56519318,71.96037292,76.67273712
577.9400024,0.943709254,7.04173851,10.35196781,14.8395462,21.57069206,28.45691872,35.95831299,46.02299881,52.3619194,58.66798401,63.95223236,72.99482727,77.75183868
578.9699707,1.047436595,6.942176819,10.54759407,15.15325642,21.38930321,28.43882561,35.8608284,45.58335114,52.91355133,58.95422745,63.86504364,73.44396973,77.51634216
